설립연도,최종업종코드,최종업종차수,업종명,기업규모,상장등록법인,지번주소,24년 총자산,24년 부채,24년 자기자본,24년 차입금회전율,24년 부가가치율,24년 총자산회전율,23년 총자산,23년 부채,23년 자기자본,23년 차입금회전율,23년 부가가치율,23년 총자산회전율,22년 총자산,22년 부채,22년 자기자본,22년 차입금회전율,22년 부가가치율,22년 총자산회전율,21년 총자산,21년 부채,21년 자기자본,21년 차입금회전율,21년 부가가치율,21년 총자산회전율,20년 총자산,20년 부채,20년 자기자본,20년 차입금회전율,20년 부가가치율,20년 총자산회전율,3개년 매출액증가여부
2005,H52***,11,그 외 기타 분류 안된 운송 관련 서비스업,소기업,기타,서울 마포구,30억미만,20억미만,10억미만,15.2,14.9,0.28,20억미만,20억미만,10억미만,16.2,10.7,0.24,20억미만,10억미만,10억미만,49.6,8.89,0.16,20억미만,10억미만,10억미만,21.6,,0.2,20억미만,10억미만,10억미만,22.3,,0.24,부
2002,G46***,11,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업,중기업,기타,서울 서초구,130억미만,120억미만,20억미만,0.98,39.6,1.33,130억미만,110억미만,20억미만,0.93,38.2,1.46,110억미만,80억미만,30억미만,1.08,27,1.35,100억미만,70억미만,30억미만,1.47,,1.03,70억미만,40억미만,30억미만,2.04,,0.84,여
2001,C25***,11,도장 및 기타 피막처리업,소기업,기타,경기 안산시,70억미만,50억미만,20억미만,1.6,27.8,1.02,70억미만,50억미만,20억미만,1.47,16.4,1.02,70억미만,50억미만,20억미만,1.71,29,1.04,60억미만,50억미만,20억미만,1.66,,1.1,70억미만,50억미만,20억미만,1.22,19.2,1.38,여
2005,G46***,11,1차 금속제품 도매업,소기업,기타,경기도 광명시,60억미만,30억미만,30억미만,8.4,1.13,0.49,60억미만,30억미만,30억미만,13.3,3,0.3,60억미만,30억미만,30억미만,15.4,3.19,0.26,70억미만,40억미만,30억미만,17.1,,0.33,60억미만,30억미만,30억미만,9.46,,0.44,부
2001,J58***,11,응용 소프트웨어 개발 및 공급업,중기업,기타,서울특별시 서초구,30억미만,20억미만,10억미만,7.78,4.47,0.27,30억미만,30억미만,10억미만,7.11,3.28,0.27,30억미만,20억미만,10억미만,10.8,21.2,0.22,30억미만,20억미만,10억미만,9.69,,0.26,30억미만,20억미만,10억미만,9,19.8,0.23,부
2005,G46***,11,의료기기 도매업,중기업,기타,경기 군포시,40억미만,30억미만,10억미만,2.28,17.5,0.76,40억미만,30억미만,10억미만,2.42,17.1,0.69,40억미만,30억미만,10억미만,3.13,12.9,0.51,40억미만,30억미만,10억미만,3.62,,0.51,40억미만,30억미만,10억미만,3.49,,0.55,부
1999,F42***,11,건물용 기계 및 장비 설치 공사업,소기업,기타,대구 달서구,30억미만,10억미만,30억미만,,12.3,0.84,30억미만,10억미만,30억미만,,11,0.75,30억미만,10억미만,30억미만,,23.8,0.45,30억미만,10억미만,30억미만,,,0.85,20억미만,10억미만,20억미만,,,0.8,부
2005,G46***,11,플라스틱물질 및 합성고무 도매업,소기업,기타,부산 금정구,30억미만,20억미만,10억미만,12.4,6.97,0.29,30억미만,20억미만,10억미만,18.5,6.37,0.3,30억미만,30억미만,10억미만,13.8,6.87,0.31,30억미만,20억미만,10억미만,17.2,,0.3,30억미만,30억미만,10억미만,16.5,,0.34,부
2004,C25***,11,금속선 가공제품 제조업,소기업,기타,경남 사천시,100억미만,60억미만,40억미만,0.72,36.2,2.53,100억미만,60억미만,40억미만,0.79,33.7,2.33,100억미만,60억미만,40억미만,0.76,31.7,2.32,100억미만,70억미만,40억미만,0.82,,2.4,100억미만,50억미만,50억미만,1.1,,1.76,부
2005,G46***,11,의약품 도매업,소기업,기타,전북 전주시,20억미만,10억미만,20억미만,,19.4,0.88,20억미만,10억미만,20억미만,,23.4,1.09,20억미만,10억미만,20억미만,,30.5,1.18,20억미만,10억미만,20억미만,,,1.1,20억미만,10억미만,20억미만,,,1.23,여
1991,Q86***,11,종합 병원,중기업,기타,경기 성남시,910억미만,560억미만,350억미만,1.19,71.3,1.87,880억미만,540억미만,340억미만,1.52,75.9,1.91,620억미만,440억미만,190억미만,1.94,70.2,1.49,580억미만,420억미만,160억미만,2.07,,1.45,520억미만,380억미만,150억미만,1.42,,1.74,여
2005,C25***,11,절삭가공 및 유사처리업,중기업,외감법인,전라북도 익산시,250억미만,120억미만,130억미만,5.4,12.2,0.63,230억미만,130억미만,100억미만,6.95,11.9,0.54,220억미만,130억미만,100억미만,5.84,9.67,0.46,210억미만,120억미만,90억미만,5.4,10,0.47,180억미만,120억미만,70억미만,3.41,,0.61,부
2006,C30***,11,자동차용 신품 동력전달장치 제조업,중기업,기타,경북 영천시,140억미만,110억미만,30억미만,2.06,31.6,0.87,120억미만,100억미만,20억미만,7.68,10,0.24,130억미만,120억미만,20억미만,5.87,10.6,0.31,130억미만,120억미만,10억미만,4.93,12.7,0.37,120억미만,120억미만,10억미만,3.44,10.7,0.38,부
2005,C25***,11,도장 및 기타 피막처리업,소기업,기타,인천 서구,50억미만,30억미만,20억미만,1.09,25,1.49,50억미만,30억미만,20억미만,0.91,29.7,1.85,50억미만,40억미만,20억미만,1.24,25.8,1.36,50억미만,30억미만,20억미만,1.08,,1.48,40억미만,30억미만,20억미만,1.3,,1.28,부
2005,G47***,11,운송장비용 주유소 운영업,소기업,기타,전북특별자치도 완주군,10억미만,10억미만,10억미만,11.4,6.69,0.22,10억미만,10억미만,10억미만,13.1,4.11,0.18,10억미만,10억미만,10억미만,16.1,4.24,0.16,10억미만,10억미만,10억미만,14.9,,0.15,10억미만,10억미만,10억미만,12,,0.17,부
2000,C30***,11,자동차 차체용 신품 부품 제조업,중기업,기타,경상북도 경주시,90억미만,60억미만,30억미만,3.18,12.3,0.52,90억미만,60억미만,30억미만,2.9,11.8,0.56,80억미만,60억미만,30억미만,2.75,11.9,0.6,70억미만,60억미만,20억미만,2.34,10.3,0.59,70억미만,60억미만,20억미만,1.99,,0.66,여
2005,G46***,11,남녀용 겉옷 및 셔츠 도매업,소기업,기타,서울특별시 송파구,80억미만,40억미만,40억미만,3.02,8.27,1.14,70억미만,40억미만,40억미만,1.95,9.54,1.48,70억미만,30억미만,40억미만,3.95,8.12,1.16,70억미만,40억미만,40억미만,2.44,,1.87,80억미만,40억미만,40억미만,0.79,,2.96,부
2001,C28***,11,일반용 전기 조명장치 제조업,소기업,기타,경기도 고양시,40억미만,30억미만,20억미만,1.75,35.8,1.57,40억미만,30억미만,20억미만,1.97,30.4,1.28,40억미만,20억미만,20억미만,2.8,24.4,0.79,30억미만,20억미만,20억미만,2.34,,0.81,40억미만,30억미만,20억미만,2.04,,1.27,부
2005,C15***,11,모피 및 가죽 제조업,소기업,기타,서울특별시 성동구,20억미만,10억미만,20억미만,142,21.2,0.38,20억미만,10억미만,20억미만,195,22.2,0.38,20억미만,10억미만,20억미만,,22.3,0.4,20억미만,10억미만,10억미만,,,0.45,20억미만,10억미만,10억미만,26.3,,0.34,여
2005,C25***,11,육상 금속 골조 구조재 제조업,중기업,외감법인,충청남도 홍성군,140억미만,90억미만,50억미만,2.37,19.4,1.21,130억미만,90억미만,50억미만,2,21.5,1.24,170억미만,120억미만,50억미만,1.22,18.8,1.61,180억미만,130억미만,50억미만,1.22,20.2,1.61,150억미만,110억미만,50억미만,1.93,,1.08,여
2004,G45***,11,자동차 신품 판매업,중기업,외감법인,대구 수성구,1130억미만,640억미만,500억미만,2.7,8.92,0.93,1050억미만,590억미만,460억미만,2.97,11.7,0.89,670억미만,410억미만,270억미만,2.15,18.3,1.02,520억미만,380억미만,150억미만,2.36,,0.74,530억미만,390억미만,150억미만,2.22,,0.81,여
2005,F42***,11,콘크리트 및 철근 공사업,소기업,기타,강원특별자치도 강릉시,20억미만,10억미만,20억미만,4,31.5,1.27,20억미만,10억미만,20억미만,14.9,48,0.93,20억미만,10억미만,10억미만,2.45,37.5,2.23,10억미만,10억미만,10억미만,6.54,,1.48,20억미만,10억미만,10억미만,2.13,,2.22,부
2003,C25***,11,금속선 가공제품 제조업,소기업,기타,충남 서산시,80억미만,50억미만,30억미만,3.09,9.48,1.04,70억미만,40억미만,30억미만,2.7,9.67,0.98,80억미만,50억미만,30억미만,3.43,7.4,0.94,70억미만,40억미만,30억미만,3.77,,0.89,60억미만,40억미만,30억미만,3.47,,0.99,부
2004,G47***,11,전자상거래 소매 중개업,중기업,외감법인,서울특별시 용산구,670억미만,270억미만,400억미만,0.64,63.2,5.09,490억미만,310억미만,190억미만,0.98,22.2,2.26,600억미만,380억미만,220억미만,1.14,-15,2.1,680억미만,330억미만,350억미만,1.71,,1.95,810억미만,350억미만,470억미만,1.86,,1.9,부
2000,B07***,11,건설용 석재 채굴 및 쇄석 생산업,소기업,기타,충청남도 당진시,90억미만,60억미만,40억미만,1.86,18.3,1.18,80억미만,40억미만,40억미만,4.12,11.3,0.76,80억미만,50억미만,40억미만,1.91,-0.2,1.36,80억미만,20억미만,60억미만,12.3,,0.84,100억미만,20억미만,80억미만,16.3,38.4,0.85,부
2004,H49***,11,일반 화물자동차 운송업,중기업,기타,충청남도 서산시,130억미만,100억미만,30억미만,6.22,10.3,0.44,130억미만,110억미만,30억미만,6.15,6.94,0.43,100억미만,70억미만,40억미만,7.96,6.5,0.37,100억미만,70억미만,30억미만,5.11,,0.52,90억미만,60억미만,30억미만,4.3,,0.59,부
2004,C29***,11,산업용 냉장 및 냉동 장비 제조업,소기업,기타,울산광역시 울주군,80억미만,50억미만,40억미만,2.09,15,0.98,80억미만,50억미만,40억미만,1.64,19.2,1.14,70억미만,40억미만,40억미만,1.29,24.8,1.58,70억미만,40억미만,30억미만,0.96,39.8,1.98,70억미만,40억미만,30억미만,1.64,,1.14,여
2005,G46***,11,그 외 기타 생활용품 도매업,중기업,기타,경기도 남양주시,110억미만,70억미만,50억미만,2.65,11.3,0.7,100억미만,60억미만,50억미만,2.82,11.3,0.71,90억미만,50억미만,40억미만,2.8,11.5,0.73,80억미만,50억미만,40억미만,2.58,14.8,0.81,70억미만,40억미만,40억미만,2.67,,0.82,여
2005,F42***,11,조적 및 석 공사업,소기업,기타,대전광역시 대덕구,10억미만,10억미만,10억미만,8.89,37,0.44,10억미만,10억미만,10억미만,9.42,40.3,0.35,10억미만,10억미만,10억미만,35.7,37.2,0.36,10억미만,10억미만,10억미만,27.2,,0.32,10억미만,10억미만,10억미만,23.7,37.5,0.24,부
2002,F42***,11,기타 건물 관련설비 설치 공사업,소기업,기타,서울 강동구,40억미만,10억미만,30억미만,41.6,34.4,0.36,30억미만,10억미만,20억미만,14.7,37.2,0.76,30억미만,10억미만,20억미만,4.91,38.7,1.58,30억미만,10억미만,20억미만,4.81,,1.67,30억미만,10억미만,20억미만,7.21,51.6,1.23,여
1993,G46***,11,1차 금속제품 도매업,소기업,기타,경기 하남시,30억미만,20억미만,20억미만,3.4,7.5,0.87,40억미만,20억미만,20억미만,2.77,8.34,0.99,30억미만,20억미만,20억미만,4.47,6.95,0.83,40억미만,20억미만,20억미만,3.49,,1.15,30억미만,20억미만,20억미만,1.93,,1.74,부
2005,C24***,11,그 외 기타 1차 철강 제조업,소기업,외감법인,대구 북구,130억미만,80억미만,50억미만,2.01,7.05,0.99,120억미만,80억미만,50억미만,2.11,2.68,0.89,130억미만,80억미만,50억미만,2.75,5.72,0.73,110억미만,80억미만,30억미만,2.72,,0.6,120억미만,90억미만,40억미만,1.74,,1,부
2005,G46***,11,과실류 도매업,소기업,기타,광주 북구,40억미만,20억미만,30억미만,17,5.16,0.21,50억미만,30억미만,20억미만,12.4,3.98,0.24,40억미만,30억미만,20억미만,7.48,5.73,0.35,40억미만,20억미만,20억미만,10.4,,0.27,40억미만,20억미만,20억미만,8.28,5.3,0.32,여
2004,G46***,11,1차 금속제품 도매업,소기업,기타,광주 광산구,90억미만,30억미만,60억미만,1.51,16.4,1.11,80억미만,30억미만,60억미만,3.98,11.7,0.84,90억미만,30억미만,60억미만,5.86,15.7,0.69,80억미만,30억미만,60억미만,4.77,18.8,0.77,70억미만,30억미만,50억미만,2.58,24.3,1.21,부
2003,G46***,11,그 외 기타 건축자재 도매업,중기업,외감법인,서울특별시 금천구,210억미만,170억미만,40억미만,2.97,7.32,0.75,230억미만,200억미만,40억미만,2.97,7.02,0.74,240억미만,210억미만,40억미만,3.4,8.94,0.75,240억미만,220억미만,30억미만,2.66,7.55,0.98,190억미만,170억미만,30억미만,3.59,,0.88,부
2005,C16***,11,일반 제재업,중기업,기타,전북특별자치도,160억미만,80억미만,90억미만,1.5,18.2,2.01,170억미만,90억미만,90억미만,1.67,13.4,1.86,170억미만,90억미만,90억미만,2.69,11.7,1.11,150억미만,70억미만,80억미만,2.76,,0.89,120억미만,50억미만,80억미만,4.48,,0.98,부
2005,G46***,11,조미료 도매업,중기업,기타,서울 송파구,20억미만,20억미만,10억미만,7.9,6.78,0.26,20억미만,20억미만,10억미만,8.04,6.83,0.28,20억미만,20억미만,10억미만,8.54,7.03,0.3,20억미만,20억미만,10억미만,7.85,,0.34,20억미만,10억미만,10억미만,9.41,,0.27,여
1998,G46***,11,의약품 도매업,중기업,기타,서울 강동구,110억미만,50억미만,70억미만,10.8,20.4,0.65,110억미만,40억미만,70억미만,,18.3,0.62,100억미만,40억미만,60억미만,,16.6,0.67,90억미만,40억미만,60억미만,,,0.62,90억미만,40억미만,60억미만,,18.1,0.64,여
2005,C30***,11,그 외 자동차용 신품 부품 제조업,소기업,기타,울산광역시 북구,60억미만,40억미만,30억미만,3.95,27,0.59,60억미만,40억미만,30억미만,4.47,26.9,0.52,70억미만,40억미만,30억미만,4.35,22,0.52,70억미만,40억미만,30억미만,3.62,22.2,0.63,60억미만,40억미만,30억미만,2.93,23.3,0.73,부
1989,C30***,11,그 외 자동차용 신품 부품 제조업,소기업,기타,대구 달서구,50억미만,20억미만,30억미만,1.36,54.3,1.93,50억미만,20억미만,30억미만,1.73,51.9,1.64,50억미만,20억미만,30억미만,1.52,50.4,1.79,50억미만,20억미만,30억미만,1.38,,2.03,40억미만,20억미만,30억미만,1.85,,1.42,부
2003,H52***,11,"화물운송 중개, 대리 및 관련 서비스업",소기업,기타,서울 강서구,30억미만,20억미만,10억미만,4.41,12.9,0.38,30억미만,20억미만,10억미만,3.75,20,0.48,30억미만,30억미만,10억미만,9.16,7.06,0.21,30억미만,30억미만,10억미만,7.29,,0.24,20억미만,20억미만,10억미만,4.32,,0.38,부
2004,C22***,11,폴리스티렌 발포 성형제품 제조업,소기업,기타,전남 장성군,20억미만,10억미만,20억미만,3.38,30.4,0.94,20억미만,10억미만,20억미만,3.72,28.3,0.91,20억미만,10억미만,20억미만,7.23,32.1,0.84,20억미만,10억미만,20억미만,5.88,,0.92,20억미만,10억미만,10억미만,4.05,,1.03,여
2006,G46***,11,기타 화학물질 및 화학제품 도매업,소기업,기타,인천 남동구,20억미만,10억미만,20억미만,63.2,8.38,0.43,20억미만,10억미만,20억미만,84.1,7.91,0.42,20억미만,10억미만,10억미만,103,6.97,0.31,20억미만,20억미만,10억미만,23.8,,0.37,20억미만,10억미만,10억미만,9.87,,0.47,부
2005,C31***,11,선박 구성 부분품 제조업,소기업,기타,대구 달서구,60억미만,40억미만,30억미만,0.68,31.9,2.53,60억미만,40억미만,30억미만,0.79,25.7,2.39,60억미만,40억미만,30억미만,0.69,36.2,2.69,60억미만,40억미만,30억미만,0.52,,3.45,60억미만,40억미만,30억미만,0.66,29.8,2.79,여
2005,C10***,11,기타 곡물 가공품 제조업,소기업,기타,전남 담양군,210억미만,180억미만,30억미만,1.17,28.7,1.14,200억미만,170억미만,40억미만,1.47,26.4,0.92,210억미만,180억미만,30억미만,1.19,25.7,1.14,190억미만,170억미만,30억미만,1.01,,1.29,190억미만,170억미만,20억미만,0.87,,1.52,부
1996,C29***,11,승강기 제조업,소기업,기타,서울특별시 금천구,70억미만,50억미만,30억미만,1.94,32.3,1.26,60억미만,40억미만,20억미만,2.22,36.8,0.96,60억미만,40억미만,20억미만,2.45,32.8,0.93,50억미만,30억미만,20억미만,3.2,38.4,0.74,40억미만,30억미만,20억미만,3.24,,0.75,부
2005,G46***,11,화장품 및 화장용품 도매업,소기업,기타,부산광역시 동래구,60억미만,40억미만,20억미만,1.46,10.4,0.93,60억미만,50억미만,10억미만,1.04,9.78,1.38,50억미만,50억미만,10억미만,0.96,10,1.34,20억미만,10억미만,10억미만,9.61,,0.37,20억미만,10억미만,10억미만,29,4.75,0.18,여
2000,C10***,11,기타 수산동물 가공 및 저장 처리업,중기업,기타,부산 사하구,380억미만,310억미만,70억미만,1.58,15.9,1.06,380억미만,310억미만,70억미만,1.37,13,1.23,390억미만,320억미만,80억미만,2.14,10.6,0.79,390억미만,320억미만,80억미만,2.08,,0.8,400억미만,340억미만,60억미만,1.59,,1.11,부
2002,C10***,11,기타 식사용 가공처리 조리식품 제조업,중기업,외감법인,전북특별자치도 임실군,250억미만,210억미만,40억미만,3.22,34.6,0.54,220억미만,200억미만,20억미만,3.42,31.1,0.51,240억미만,230억미만,10억미만,2.58,30.9,0.63,240억미만,230억미만,10억미만,2.9,,0.64,220억미만,230억미만,00억미만,2.22,,0.76,여
